id,siblings_id,arb_sample,arb_attention_check,arb_distractions,arb_sped,arb_csd,arb_eco_shift,arb_abs_shift,age,test_envr,unp_perceived,unp_interview,unp_agg,vio_neighborhood,vio_fighting,vio_agg,ses_perceived,ses_interview,ses_school,ses_agg,abs_shifting_sc,eco_shifting_sc,abs_updating,eco_updating
p0029,sibling_000,wjms,0,0,0,4,31,31,14,1,3.5,0.8124270359594112,1.5242704643205176,2.2857142857142856,2.5,0.29321704043388835,3,-0.675907236694938,-0.5,-0.8181197229084962,254.6696428571429,405.8809523809525,0.8666666666666667,0.9333333333333333
p0030,sibling_000,wjms,0,0,0,6,32,32,15,1,1.8333333333333333,-0.7931382738148606,-0.590106034148653,1.8571428571428572,1.5,-0.341909196416201,4,-1.5166543375923436,-0.5,-0.6424667120784207,19.63333333333344,187.75,0.7333333333333333,0.6666666666666666
p0031,sibling_000,wjms,0,0,0,7,31,30,14,1,1.1666666666666667,-0.7931382738148606,-1.0472648387209618,1.1428571428571428,1,-0.9935417660533832,3.8333333333333335,0.4440921364396628,0.5,0.3600763051650167,261.742857142857,538.2692307692307,1,1
p0032,wjms_sibling_060,wjms,0,0,0,8,20,27,13,1.25,1.5,-0.3918733414397371,-0.575892042545967,1.5714285714285714,1.5,-0.5328060256802796,4.5,-0.6502280257100281,0.5,0.27237641839131055,111.91666666666674,81.53333333333336,0.7333333333333333,0.6
p0033,sibling_000,wjms,0,0,0,2,21,32,13,2.75,2.5,-0.3918733414397371,0.10984616431249591,2.5714285714285716,3,0.6585043661749529,3,0.10104701141271859,-0.5,-0.5200397013363364,50.049999999999955,60.799999999999955,0.3333333333333333,0.3333333333333333
p0034,wjms_sibling_280,wjms,0,0,0,8,31,30,15,1.25,2,-0.7931382738148606,-0.4758163330055759,2.857142857142857,1,0.15183920953108804,4.166666666666667,-0.7959167153346686,0.5,0.05041357161792422,195.8736263736264,430.80000000000007,0.8666666666666667,1
p0035,sibling_000,wjms,0,0,NA,5,31,31,15,1.75,2.8333333333333335,0.3419934564683669,0.7824663888847958,1.8571428571428572,2.5,0.0068717965377706886,4.333333333333333,-0.06913152009148399,NA,0.3684210278320954,107.47619047619048,345.8666666666668,0.9333333333333333,0.8666666666666667
p0037,sibling_000,wjms,0,0,0,3,25,31,15,1.25,1.5,-0.7931382738148606,-0.8186854364348074,2.142857142857143,3,0.37215912227883496,4,0.8817898917744321,0.5,0.6110344552947474,69.32211538461547,-332.08333333333337,1,0.7333333333333333
p0038,sibling_000,wjms,0,0,0,2,18,15,15,1,2,-0.7931382738148606,-0.4758163330055759,1.5714285714285714,1,-0.7071965221572654,3.6666666666666665,-0.7969245810941232,0.5,-0.1990767408222485,-5.75,685.2,0.8666666666666667,0.8
p0039,sibling_000,wjms,0,0,0,5,21,30,14,1.25,1.5,-0.7931382738148606,-0.8186854364348074,2.5714285714285716,4,1.0072853591289246,4.5,0.3963243983016359,0.5,0.6738883090664582,-157.9076923076924,-45.16666666666663,0.9333333333333333,1
p0041,sibling_000,wjms,0,0,0,3,29,31,14,1,2,-0.7931382738148606,-0.4758163330055759,1.8571428571428572,3,0.18126229301475652,3.6666666666666665,0.04326212356469769,0.5,0.12326253675982259,108.16666666666674,498.6303030303029,0.8,0.6666666666666666
p0042,wjms_sibling_070,wjms,0,0,0,3,29,29,15,1,1.5,-0.7931382738148606,-0.8186854364348074,2.5714285714285716,1,-0.039057619732990434,4.5,0.7774063468582497,0.5,0.8200911462646358,22.96794871794873,793.7032967032967,0.4,0.8
p0043,sibling_000,wjms,0,0,1,6,31,32,14,1,1.3333333333333333,-0.7931382738148606,-0.9329751375778845,1.4285714285714286,3,-0.1050829508813613,4,1.2339774895022586,0.5,0.7461519181104104,58.01785714285711,541,0.8666666666666667,0.7333333333333333
p0044,sibling_000,wjms,1,0,0,8,21,25,13,1,1.8333333333333333,0.02534456912964982,-0.09486657700987564,1.8571428571428572,2,-0.16751869993921514,3.6666666666666665,-0.2920990929729102,0.5,-0.005399451900987988,-435.9000000000001,95.61428571428564,0.4666666666666667,0.7333333333333333
p0045,sibling_000,wjms,0,0,1,10,22,32,14,2.75,1.6666666666666667,0.8278744338798968,0.27643050962472815,1.5714285714285714,3,-0.009634536249322062,5,0.3814272106645572,-0.5,0.5839432832340206,-67.26666666666665,104.76623376623377,0.5333333333333333,0.6666666666666666
p0046,sibling_000,wjms,0,0,0,5,31,32,14,1,2.1666666666666665,-0.19124087525217537,0.002663458970761756,2,3,0.27671070764679573,3.1666666666666665,0.00407305783176895,-0.5,-0.4742094012901766,352.25,375.7321428571429,0.8666666666666667,0.8
p0047,sibling_000,wjms,0,0,0,3,31,32,14,1,2,-0.7931382738148606,-0.4758163330055759,2.2857142857142856,2,0.1188265439569025,3.5,0.6799516642429636,-0.5,-0.04883815277628056,11.25,370.5857142857142,0.6666666666666666,0.6666666666666666
p0048,sibling_000,wjms,0,0,0,3,25,28,14,1,1.3333333333333333,-0.7931382738148606,-0.9329751375778845,1.5714285714285714,1,-0.7071965221572654,4,0.21077599911158412,0.5,0.35359865893052445,247.91666666666652,-172.05555555555566,0.3333333333333333,0.4
p0049,sibling_000,wjms,0,0,0,6,32,31,15,1,2,0.5963471718513641,0.3649196992103438,1.5714285714285714,1.5,-0.5328060256802796,3.8333333333333335,-0.5152120087519593,-0.5,-0.34129594550410197,112.02857142857124,460.375,0.8,0.7333333333333333
p0050,sibling_000,wjms,NA,0,NA,NA,25,24,13,1.25,NA,0.009391590935386404,0.01216247293131227,NA,NA,NA,NA,0.2638267592730088,NA,0.3172937358067072,96.73809523809518,561,0.8666666666666667,0.9333333333333333
p0051,sibling_000,wjms,0,0,0,6,24,29,13,1,3.8333333333333335,1.1827971724935638,1.976949744739394,1.8571428571428572,2,-0.16751869993921514,3.6666666666666665,0.6497676472845673,0.5,0.35594957082183665,127.69230769230762,134.284090909091,0.5333333333333333,0.26666666666666666
p0052,wjms_sibling_370,wjms,0,0,0,4,21,26,13,1.25,1.8333333333333333,-0.3918733414397371,-0.3473126402598128,1.1428571428571428,4,0.05280121280853178,3,-1.448601041836203,-0.5,-1.1145652171781513,-7.2999999999999545,353.5333333333334,0.3333333333333333,0.4666666666666667
p0053,sibling_000,wjms,0,0,0,13,30,32,13,1.25,2.5,-0.7931382738148606,-0.13294722957634442,1.7142857142857142,2,-0.26296711457125455,4.333333333333333,1.4514442359104116,0.5,0.9956525571882318,297.6833333333334,-430.85714285714266,0.8666666666666667,0.7333333333333333
p0054,sibling_000,wjms,0,0,0,3,26,31,13,1,1.5,-0.7931382738148606,-0.8186854364348074,2,2,-0.07207028530717594,3,1.3519913771088077,-0.5,-0.040112441242901996,198.66666666666674,688.7833333333334,0.7333333333333333,0.8666666666666667
p0055,sibling_000,wjms,0,0,0,2,31,31,13,1,3.3333333333333335,0.7969796380389258,1.4006340052993815,3.857142857142857,3,1.5175400978633062,4,-0.6910551206021867,0.5,0.007609380574100803,-8.138095238095275,-154.73333333333335,0.7333333333333333,0.8
p0057,sibling_000,wjms,0,0,0,8,30,31,15,1.25,1.5,-0.7931382738148606,-0.8186854364348074,1.5714285714285714,1.5,-0.5328060256802796,4,0.9490413536492088,0.5,0.6368356105818411,283.84821428571433,141.90109890109875,1,0.8666666666666667
p0058,sibling_000,wjms,0,0,0,13,32,32,14,1.25,1.8333333333333333,-0.7931382738148606,-0.590106034148653,2,1,-0.4208512782611476,3.3333333333333335,-0.2392921353697614,0.5,-0.15120905419215758,444.625,1036.5333333333333,0.3333333333333333,0.8666666666666667
p0059,sibling_000,wjms,0,0,NA,10,31,28,14,1,1.5,0.6117945697718495,0.031397353659171456,2.5714285714285716,2.5,0.4841138696979671,4,0.001249518582626577,NA,0.15982012041682872,85.28205128205127,792.0238095238096,0.8,0.8666666666666667
p0060,sibling_000,wjms,1,0,0,11,22,32,13,1,1.8333333333333333,1.082228149262894,0.5446220268087392,2.7142857142857144,3.5,0.9283432772839779,3.8333333333333335,-1.6813008704612473,-0.5,-0.7886682250172675,204.4666666666667,247.38961038961043,0.5333333333333333,0.4666666666666667
p0061,wjms_sibling_240,wjms,0,1,0,8,31,29,13,1.5,1.8333333333333333,-0.3918733414397371,-0.3473126402598128,1.7142857142857142,2.5,-0.08857661809426869,4,-1.3712723813017011,-0.5,-0.586690639326563,171.6190476190476,337.5333333333333,0.8666666666666667,0.6666666666666666
p0062,sibling_000,wjms,NA,0,0,NA,21,26,14,1,NA,-0.7931382738148606,-0.9590111026240493,NA,NA,NA,NA,-1.59703444151861,-0.5,-1.1622377077825672,-91.34343434343441,296.07936507936506,0.8666666666666667,0.9333333333333333
p0063,wjms_sibling_190,wjms,0,0,0,2,31,30,15,1.25,2.1666666666666665,-0.7931382738148606,-0.36152663186249884,2.142857142857143,3,0.37215912227883496,3.5,0.336082064598434,0.5,0.15256893402490354,156.18131868131854,576.195238095238,0.8666666666666667,1
p0065,sibling_000,wjms,0,0,0,8,29,28,14,1,2,-0.5925058076272989,-0.35441963606115573,1.2857142857142858,3,-0.20053136551340053,4.333333333333333,-0.1385561585243468,-0.5,0.052312453150963556,218.16666666666663,361.4945054945056,0.6,0.7333333333333333
p0066,wjms_sibling_370,wjms,0,0,0,6,26,28,15,1.5,1.1666666666666667,-0.3918733414397371,-0.8044714448321213,1.4285714285714286,5,0.5924790350265821,3.6666666666666665,-1.7090467562520708,-0.5,-0.882347536122909,685.6666666666665,-384.89898989898984,0.3333333333333333,0.4
p0067,sibling_000,wjms,0,0,0,8,29,30,14,1,1.6666666666666667,0.49577814862069425,0.07548899271046067,2.142857142857143,2.5,0.19776862580184912,3.6666666666666665,-0.9603002731867414,-0.5,-0.595089478949294,57.0934065934066,319.2307692307693,0.7333333333333333,0.9333333333333333
p0068,sibling_000,wjms,0,0,0,10,31,32,14,1.25,1.1666666666666667,0.7278109909230049,-0.12698398653519472,1.1428571428571428,1,-0.9935417660533832,4,-1.2500951351511538,0.5,-0.20686741777318984,190.1875,109.07142857142867,0.6,0.6666666666666666
p0069,sibling_000,wjms,0,0,0,2,23,23,14,1,1.5,-0.10611924994199098,-0.4029907992658772,1.4285714285714286,1,-0.8026449367893047,3.6666666666666665,-0.2385884453673877,-0.5,-0.31820332029936127,-441.8888888888889,388.3888888888889,0.8,0.7333333333333333
p0070,wjms_sibling_300,wjms,0,0,0,9,31,30,15,1,2.6666666666666665,0.5963471718513641,0.8220785037826523,1.1428571428571428,2,-0.6447607730994116,4.333333333333333,0.3449898664066168,0.5,0.5711591676050113,67.84615384615381,234.30476190476202,0.5333333333333333,0.6666666666666666
p0071,sibling_000,wjms,0,0,0,2,32,29,14,1,2.1666666666666665,0.009391590935386404,0.12406015591518196,2,1.5,-0.24646078178416175,3,-1.1285394732274439,-0.5,-0.9917729684612117,282.4670329670329,524.5875000000001,0.9333333333333333,0.5333333333333333
