id,sample_code,interviewer,site,classroom,sex,ethnicity,age,has_sibling,non_arb_impaired_assent,non_arb_impaired,non_arb_attention_check,non_arb_q_responses,non_arb_sped_60min,non_arb_distractions,arb_sped,test_envr_noisy,test_envr_chaotic,test_envr_interrupted,test_envr_distracted,test_envr,csd1,csd2,csd3,csd4,csd5,csd6,csd7,csd8,csd9,csd,unp_perceived1,unp_perceived2,unp_perceived3,unp_perceived4,unp_perceived5,unp_perceived6,unp_perceived,unp_interview_disrupted,unp_interview_figures,unp_interview_moves,vio_neighborhood1,vio_neighborhood2,vio_neighborhood3,vio_neighborhood4,vio_neighborhood5,vio_neighborhood6,vio_neighborhood7,vio_neighborhood,vio_fighting1,vio_fighting2,vio_fighting,ses_perceived1,ses_perceived2,ses_perceived3,ses_perceived4,ses_perceived5,ses_perceived6,ses_perceived7,ses_perceived,ses_interview_edu,ses_interview_occup,ses_school_freelunch,eco_shifting_correct,eco_shifting_sc,abs_shifting_correct,abs_shifting_sc,eco_updating_r1_correct,eco_updating_r2_correct,eco_updating_r3_correct,eco_updating_r4_correct,eco_updating_r5_correct,eco_updating,abs_updating_r1_correct,abs_updating_r2_correct,abs_updating_r3_correct,abs_updating_r4_correct,abs_updating_r5_correct,abs_updating,siblings_n,siblings_id
p0379,wjms,AG,wjms,wi_p6_2019,2,6,13,0,0,0,0,0,NA,0,NA,2,1,1,1,1.25,1,1,1,1,1,1,1,1,2,7,5,5,5,1,2,1,2.5,0,0,1,4,2,4,1,1,1,5,2,1,1,1,5,5,5,5,1,1,1,3.6666666666666665,0.5,30.594532012939453,NA,19,363.66666666666663,26,64.64646464646466,1,3,2,3,1,0.6666666666666666,2,3,2,2,1,0.6666666666666666,525,sibling_000
p0380,wjms,AG,wjms,wi_p4_2019,1,1,13,1,0,0,0,0,0,0,0,4,1,1,1,1.75,2,1,1,2,1,2,1,1,2,10,5,2,2,1,2,1,1.5,0,0,1,5,1,3,1,1,2,1,1.4285714285714286,1,NA,1,5,5,5,5,1,1,2,3.6666666666666665,2,47.5975818634033,1,30,220.7362637362637,28,574.0349650349651,2,3,2,2,2,0.7333333333333333,3,3,2,2,0,0.6666666666666666,2,wjms_sibling_440
p0381,wjms,BM,wjms,tr_p2_2019,1,1,13,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,8,5,1,1,1,1,1,1,0,0,0,4,2,4,1,1,2,1,1.5714285714285714,1,2,1.5,5,5,5,5,2,2,1,4,2,50.45874786376955,0,31,246.66071428571422,30,123.62564102564102,3,3,3,3,1,0.8666666666666667,0,3,3,3,3,0.8,525,sibling_000
p0382,wjms,MJ,wjms,wi_p2_2019,2,1,13,0,0,0,0,0,0,1,0,2,1,1,2,1.5,2,1,1,2,1,1,1,1,1,7,4,3,2,1,4,1,2.1666666666666665,0,0,0,5,1,4,1,1,1,1,1.1428571428571428,1,1,1,5,5,5,5,3,2,3,4.166666666666667,1,45.0939674377441,1,27,-10.611111111111086,25,376.20000000000005,3,1,2,0,0,0.4,0,3,0,2,0,0.3333333333333333,525,sibling_000
p0383,wjms,MJ,wjms,wi_p5_2019,2,1,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,2,1,2,1,1,2,5,1,2,1,2,1,1.3333333333333333,0,0,2,5,2,4,2,1,2,1,1.5714285714285714,2,1,1.5,5,5,5,5,2,2,1,4,3,60.9042549133301,0,30,590.2142857142858,28,203.1538461538462,3,2,3,1,1,0.6666666666666666,0,3,2,2,2,0.6,525,sibling_000
p0384,wjms,HH,wjms,wi_p4_2019,1,6,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,2,2,1,3,4,1,3,1,1,1,1.5,0,0,0,3,2,4,1,1,3,5,2.4285714285714284,5,2,3.5,3,3,5,5,2,3,1,3.5,0,39.59086990356445,1,21,93.26666666666665,30,29.934065934065984,2,2,1,1,1,0.4666666666666667,3,3,1,2,1,0.6666666666666666,525,sibling_000
p0385,wjms,HH,wjms,wi_p5_2019,2,1,13,0,0,0,1,0,0,0,0,1,1,1,1,1,2,2,1,1,2,1,2,1,1,1,4,2,2,2,4,1,2.1666666666666665,3,1,1,4,2,3,2,1,3,1,2,1,1,1,4,3,4,2,2,1,3,2.6666666666666665,2.5,48.3766250610352,0,28,292.8560606060606,28,118.93846153846152,3,3,3,2,1,0.8,0,3,2,3,3,0.7333333333333333,525,sibling_000
p0386,wjms,BM,wjms,wi_p4_2019,1,1,13,0,0,0,0,0,0,1,0,2,1,1,1,1.25,1,2,1,2,1,1,1,1,1,5,5,1,2,1,1,1,1.1666666666666667,0,0,1,4,1,3,2,1,4,2,2.142857142857143,1,1,1,5,5,5,5,3,2,5,4.166666666666667,2,30.8320465087891,0,22,64.6507936507935,27,128.25,2,3,3,1,2,0.7333333333333333,2,3,3,2,0,0.6666666666666666,525,sibling_000
p0387,wjms,MJ,wjms,tr_p6_2019,2,1,13,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,8,4,1,2,1,3,1,1.6666666666666667,0,0,0,3,2,4,2,1,4,1,2.142857142857143,1,2,1.5,4,4,4,3,1,1,3,2.8333333333333335,1.5,30.8327283859253,0,30,259.7857142857142,30,-211.55494505494494,3,3,3,2,3,0.9333333333333333,2,3,3,2,2,0.8,525,sibling_000
p0388,wjms,HH,wjms,wi_p7_2019,2,1,13,1,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,1,2,1,1,1,10,4,1,3,3,3,1,2.1666666666666665,0,0,1,3,2,3,2,1,4,3,2.5714285714285716,3,1,2,4,4,3,5,2,3,3,3.5,1,47.3640842437744,0,32,461.47916666666674,25,179.79999999999995,2,3,3,2,3,0.8666666666666667,3,3,0,3,3,0.8,2,wjms_sibling_270
